worker_id,task_id,task_response_id,is_reviewed,review_score,Text,Toxic/Not Toxic
VAP7WRCWQZ3R,af1e68c2-5f30-4f6e-b8fe-0f758e2a0a56,001950f9-c87f-4193-9109-f1dc6e08c266,false,,علي #العالم أن يؤدب هذه الدوله المجنونه إيران ويوقف قرصنتها لسفن العالم في المياه الدوليه #إيران تمارس الان مامارسه هتلر في زمانه عندما أزعج الدنيا وأضر بالسلم العالمي علي #أمريكا حليفه العالم والعدل الدولي أن توقف مجاملتها وإنبطاحها لهذا النظام المجرم المهدد للسلم العالمي,Toxic
VAP7WRCWQZ3R,87e1b8a5-4134-4ff5-9a58-9ddfc42346c6,0019ca07-a752-476c-9ffe-ebb69ef20bb2,false,,إسرائيل هي اوهن من بيت العنكبون,Toxic
VAP7WRCWQZ3R,b35c5b94-9d61-4d83-be35-1b1b47ba0cb1,0043118c-20a2-4152-916a-40d7fc69aa4e,false,,‏إذا تمكنت من اكتشاف الحيوان الثاني الموجود بالصورة خلال 20 ثانية؛ فأنت من الواحد بالمئة الأذكى في العالم ,Not Toxic
HCPMEVQXT3HK,657fa4f7-e462-4ec9-9650-bcc5a0ed289e,005718dc-ddaa-4c48-a8d4-6e4e1db316e7,false,,هذه صفحة فتن لعنة الله عليكم,Toxic
VAP7WRCWQZ3R,28c69279-ba16-45e0-80e5-a907fb7ebaec,00f92a0f-cb17-4ebd-ac27-752bb628c579,false,,"#رايك_ف_بنات_مصر
نصهم متناكين وفاكرين دا اوبن مايند
وربعهم محترمين
وربعهم حيحانين ومش عارفين هما شمال ولا يمين",Toxic
269R2FJEMCRX,fc32975a-89ed-441a-b0eb-658eb0d96b93,0107b960-9541-43db-bef0-1c29e6917a70,false,,فيه شرموطه مصريه اسمها رحاب ابوها مصور الاسكندريه النخيل نيك امك علي اي ابن لبوه معاك طبعا مخصي ذيك ذي وزير الدفاع ذي بلحه لو دكر اطهر واقول انا عنتر قبه راجل خول لو خليتك علي الحياه ثنيه,Toxic
VAP7WRCWQZ3R,41ba0ca8-5a0b-43c9-ae0e-cb111f7bcf70,010800f1-1080-41dc-807d-589fe2e1bd5c,false,,"#ال_سعود

حب #الوطن يجري في دماء اطفالنا وهذي هي ابنتي الصغيرة تردد قصيدتي بالوطن وارسلتها لي وهي لم يتجاوز عمرها ٧ سنوات بصوتها الطفولي 

هذا هو #حب_الوطن الحقيقي الذي يجب ان نزرعه في اطفالنا 

ولاتنسون ذكر الله وقولو ماشاء الله",Not Toxic
VAP7WRCWQZ3R,d6bba35b-c45a-420c-8fc1-e06a7d0ca9ca,018625c3-44e0-44d7-a93b-e83b76c9ee68,false,,ده انا هعمل منك كل يوم محتوى ي داني ي متnاك مش هيبقى ورايا غيرك من هنا ورايح ي عرص 💙,Toxic
DHNEHHYX74XC,cbedfa7c-15d4-4c48-9e4a-8f332778da46,01a3ee79-d78d-4713-8da1-7602ae188a5c,false,,شعب متناك بطبعه,Toxic
VAP7WRCWQZ3R,bc7b6ed0-4a4f-48ca-b6a9-030108c2e5bc,01b485e3-b6a7-4a43-aec1-ace54d6b08a9,false,,"‏تمارين قوية للابهر للناس اللي تشتكي من الابهر 
طبتم بخير والف سلامة

فضلها راح تحتاجها ♥",Not Toxic
DHNEHHYX74XC,bf47b52e-86c3-4540-9526-21bc8cc79ee0,0213d24e-84dc-4b3a-b264-8436cc689a6c,false,,كس امك يابن الشرموطة كس امك يا ابن القحبة كس امك يا ابن الوسخة كس امك يا ابن المتناكة كس امك على كس ام اللي بيحموك على كس امك الي واقفين معاك يا عرص يا خول يا شرموط يا متناك يا ديوث,Toxic
JZMEZT7EYNGR,67a1938b-9a8c-43ad-b7bf-70f22fc154e1,0219fc73-9f35-4e05-a317-5e9fa67a6bc4,false,,قاتلهم الله الصهاينة قاتلهم الله ليس في الصهاينة خير قتلوا الأنبياء عليهم اللعنة من الله والملائكة والناس أجمعين يارب العالمين 🐖🐖🐖🐖🦍🦍🦍,Toxic
VAP7WRCWQZ3R,89a87a88-e8e3-4f7f-9168-01ad9aaee99e,02b9547c-3b18-4425-8a47-005a50367cc4,false,,الدكتور بتاع الماده غير  الاسئله اللي بتيجي بصمجة بقالها 3سنين وحط اسئله جديده في امتحان انهاردة,Not Toxic
VAP7WRCWQZ3R,a7aacedd-09c4-469e-a249-47a68e78a3f5,02cb6793-af11-4abf-b34b-e96fdac97752,false,,‏البسكوته الرابعه من تحت دي ... دي وجهة نظري في البيت ‎,Not Toxic
269R2FJEMCRX,da3e6fdb-3c38-442f-bfe2-83bef4c24189,031e17d2-23d3-42dc-8088-c25c35b1beb5,false,,خلي حكام العرب تشوف فعلاً اسأل ساقط عن ساقط يقولك زلمه,Toxic
