,text,Trump,Biden,West,HOF
0,SukiRavan ProgressPotato MarkZuckerb rg JSiffordson KyleKulinski Joe Biden better vote him,Neither,Favor,Neither,Non-Hateful
1,Newsweek freak crazy NEWLINE Id rather watch Roto Rooter team clean sewers BronzeBoy spew endless lie distortions Its old old racist crap America fall deserve get NEWLINE VoteBlue,Neither,Favor,Neither,Non-Hateful
2,Undecided voters and MAGATs alike NEWLINE If worry Joe sniff hair worry tRUmp grab someone s pu y NEWLINE NEWLINE If worry Hunter worry Ivanka NEWLINE NEWLINE If worry Kamala worry Mike,Against,Neutral mentions,Neither,Non-Hateful
3,cheaterwins Hungry For More DAYSORSHAY right President Trump likely win Biden I m base likelihood I m say who s go win President Trump likely win NEWLINE NEWLINE trump keepAmericagreat Trumpisthebestpresident,Favor,Neutral mentions,Neither,Non-Hateful
4,CNN Nancy Pelosi Dems wont deal would make Trump look good Forget hungry kid car get repod behind mortgage want homeless population never vote hand feed them Its total control,Neutral mentions,Neither,Neither,Non-Hateful
5,EvanAKilgore PressSec johnrobertsFox Looks like duck walk like duck Trump NEWLINE NEWLINE,Against,Neither,Neither,Non-Hateful
6,ACTforAmerica realDonaldTrump love too best President President Trump Trump,Favor,Neither,Neither,Non-Hateful
7,realDonaldTrump k bidenharris,Neutral mentions,Favor,Neither,Non-Hateful
8,kayleighmcenany realDonaldTrump Omfg THE IRRESPONSIBLE CRETINOUS SELFISH ENTITY N PLANET IS PRESIDENT BidenHarris GET OUUUUUUTTTTTT,Against,Favor,Neither,Non-Hateful
9,So NY Post write article Biden family corruption Twitter Facebook censor it Biden campaign say censorship make clear story bogus Got that Corrupt censorship validate corruption I m back USSR NEWLINE,Neither,Against,Neither,Non-Hateful
10,greenfield Way realDonaldTrump F K Trump Wish best know what know risk wear mask BidenHarris screwtrump,Against,Favor,Neither,Hateful
11,Harris vote right He know cant win people vote Donald Trump weak hes throw every roadblock suppress vote people cannot let get away it,Neutral mentions,Neutral mentions,Neither,Non-Hateful
12,year old mother stand line hours vote Georgia today stand there arm man wear Trump gear walk line gun holster presumably scare voter supression Voter intimidation NEWLINE ThisIsAmerica,Against,Neither,Neither,Non-Hateful
13,u want Dem monarchy Joe Biden Declares Voters Dont Deserve Know Position Court Packing,Neither,Against,Neither,Non-Hateful
14,new stewards highest elect offices Congrats Joe Kamala BidenHarris,Neither,Favor,Neither,Non-Hateful
15,dont know democrats arent embarrass Joe Biden Kamala Harris candidates NEWLINE NEWLINE They must count Marxist government future destroy evidence complete sham candidates manipulation narrative Media,Neither,Against,Neither,Non-Hateful
16,see Trump try buy vote tax cut send seniors dam work Im vote Trump Trump,Favor,Neither,Neither,Non-Hateful
17,JoeBiden deliver amaze speech first time years especially feel comfort feel assure someone competent speak Gov t Someone logical plan fix economy NEWLINE NEWLINE BidenHarris NEWLINE KeepBidenSafe NEWLINE VOTE,Neither,Favor,Neither,Non-Hateful
18,Trentasaurusre fine Joe Kamala basically Republicans anyway Trump s well Putin s bitch Glad good,Against,Against,Neither,Hateful
19,Biden Harris would allow baby abort minutes birth RADICAL push policies destroy America Vote today protect live millions unborn children nation NEWLINE NEWLINE,Neither,Against,Neither,Non-Hateful
20,client die COVID feel years younger NEWLINE NEWLINE TrumpCovid NEWLINE COVIDIOT NEWLINE WhiteHouseVirus NEWLINE BidenHarris,Against,Favor,Neither,Hateful
21,MoNiicole Big mad Christian hate Joe Biden Kamala Harris right Lol,Neither,Neutral mentions,Neither,Non-Hateful
22,obama trump didn t know covid china think alert world virus deadly even know come even though plan things help want die many ways,Neutral mentions,Neither,Neither,Non-Hateful
23,HawaiiForTrump NEWLINE NEWLINE I d like thank BLM NEWLINE and BidenHarris NEWLINE for show Trump rally NEWLINE Does anyone know ladies be,Favor,Against,Neither,Non-Hateful
24,Trump BernieBros fakegressives Russian Troll friends try steal Election Make plan VoteByMail EarlyVote ElectionDay Nov rd BidenHarris Together FlipTheSenate restore soul nation,Against,Favor,Neither,Non-Hateful
25,HillaryClinton youre way much youre go spend rest life prison gitmo trump,Favor,Neither,Neither,Non-Hateful
26,KamalaHarris God us Trump,Favor,Neutral mentions,Neither,Non-Hateful
27,NateSilver debate help Trump ROFL orange moron think wing it downfall he s believe fake propaganda look forward make complete ass try lie way debate NEWLINE VoteBlue NEWLINE Vote NEWLINE BidenHarris,Against,Favor,Neither,Hateful
28,amberlywaves Happy birthday know bright brilliant candle cake VoteBlue HappyBirthday stranger since fam act like tRump DumpTrump,Against,Favor,Neither,Non-Hateful
29,NBCNewYork Looks like US DOJ write script Russian GRU troll farm VoteBlueToEndThisNightmare BidenHarris,Against,Favor,Neither,Non-Hateful
30,MarineVet covert s AnnieGetHerGun YoHolz drarpatil MelTheBos BadBoyIII SexyAssPatriot CarolinaIsAlpha st ForceRecon maahh BrianBombastic HHere trump jchutch Cal Davis truth sniper JamesAmfedup drellenbrandt MAGA FOFO Ratio Elitist harmful Followers vs Following system Twitter anywhere else system full two way Connections Internet users,Favor,Neither,Neither,Non-Hateful
31,vote Debates jaketapper romyreiner BidenHarris jimmykimmel freedomatstake GodHelpUS Think debate public park president pollute it,Against,Favor,Neither,Non-Hateful
32,Democrats abhor school choice lower tax want larger public program NEWLINE NEWLINE What mean want dumb without money feed handouts like baby bird NEWLINE NEWLINE They want take care you that s job NEWLINE NEWLINE Election vote Trump BidenHarris,Favor,Against,Neither,Non-Hateful
33,PrettyTea In order stop Biden Kamala wag war Black men again need Black women keep White House vote NEWLINE NEWLINE Thanks sympathize Black man s plight,Neither,Against,Neither,Non-Hateful
34,WOW NYT Calls Tech Giants Censor Trump Supporters Election Night,Favor,Neither,Neither,Non-Hateful
35,Kramou people ruin country Democrats Trump s base riot burn businesses act like real fascists wave communist flag Democrats literally want tear country authoritative regime even hide it,Favor,Against,Neither,Non-Hateful
36,Trump camp make mockery CoVid NEWLINE NEWLINE K die country along nearly million infections NEWLINE NEWLINE This game joke NEWLINE NEWLINE BidenHarris NEWLINE TrumpFakedCovid,Against,Favor,Neither,Non-Hateful
37,Plot bring would be assassin Biden s home reveal list violent threats grow,Neither,Neutral mentions,Neither,Non-Hateful
