raw_sentence,corpus_name,clean_sentence_training,tokenized,clean_sentence_EDA,label
"@USER Someone should'veTaken"" this piece of <b>shit</b> to a volcano. 😂""",Abusive_Swearing,Someone should'veTaken piece shit volcano 😂,Someone should'veTaken '' piece  shit  volcano . 😂 '' ,Someone should'veTaken piece shit volcano ,0
@USER @USER Oh noes! Tough <b>shit</b>,Abusive_Swearing,Oh no Tough shit,Oh noes ! Tough  shit  ,Oh no Tough shit,1
@USER @USER @USER @USER LOL!!! Throwing the <b>bullshit</b> Flag on such nonsense!! #PutUpOrShutUp #Kavanaugh #MAGA #CallTheVoteAlready URL,Abusive_Swearing,LOL Throwing bullshit Flag nonsense PutUpOrShutUp Kavanaugh MAGA CallTheVoteAlready URL,LOL ! ! ! Throwing  bullshit  Flag nonsense ! ! # PutUpOrShutUp # Kavanaugh # MAGA # CallTheVoteAlready URL ,LOL Throwing bullshit Flag nonsense PutUpOrShutUp Kavanaugh MAGA CallTheVoteAlready URL,1
@USER @USER Da <b>fuck</b> is going on people? There's the men's room and the women's room Pick one and stick w it 🤔,Abusive_Swearing,Da fuck going people There 's men 's room woman 's room Pick one stick w 🤔,Da  fuck  going people ? There 's men 's room women 's room Pick one stick w 🤔 ,Da fuck going people There 's men 's room woman 's room Pick one stick w 🤔,1
@USER <b>fuck</b> off,Abusive_Swearing,fuck, fuck  ,fuck,1
"@USER @USER The prison system is so <b>fucked</b> Why are they still getting away with what is potentially murder with intent if the prisoners die in the hurricane? They did this in Louisiana and like 500 inmates went missing""""",Abusive_Swearing,The prison system fucked Why still getting away potentially murder intent prisoner die hurricane They Louisiana like 500 inmate went missing,The prison system  fucked  Why still getting away potentially murder intent prisoners die hurricane ? They Louisiana like 500 inmates went missing '' '' ,The prison system fucked Why still getting away potentially murder intent prisoner die hurricane They Louisiana like 500 inmate went missing,0
@USER <b>fuck</b> em,Abusive_Swearing,fuck em, fuck  em ,fuck em,1
@USER This all I get 😢 <b>damn</b> these haters deleting you IG for no reason... URL,Abusive_Swearing,This I get 😢 damn hater deleting IG reason URL,This I get 😢  damn  haters deleting IG reason ... URL ,This I get  damn hater deleting IG reason URL,1
@USER SJSHSJ THATS MY JOB <b>bitch</b>,Abusive_Swearing,SJSHSJ THATS MY JOB bitch,SJSHSJ THATS MY JOB  bitch  ,SJSHSJ THATS MY JOB bitch,1
@USER He is a <b>dumbass</b> !!!!!,Abusive_Swearing,He dumbass,He  dumbass  ! ! ! ! ! ,He dumbass,1
