HITId,tweet,sentiment,directness,annotator_sentiment,target,group
1,صلاة الفجر خير لك من ترديد بول البعير وسبي النساء واغتصاب طفلة نظافة ونشاط وحيوية #عقلانيون,hateful_normal,indirect,shock,gender,individual
2,صراحة نفسي اشوف ولاد الوسخة اللي قالوا مدرب اجنبي منك لله ربنا ياخدك ي… @url,offensive,indirect,anger_confusion_sadness_indifference_disgust,other,other
3,طيب! هي متبرجة وعبايتها ملونه وطالعة من بيتهم بدون ....... @url,offensive,indirect,indifference,other,individual
4,@user @user انا اوافقك بخصوص السوريين و العراقيين اما بخصوص السعودي مو بحاجه انه يقعد بالكويت بدو… @url,normal,direct,indifference,origin,other
5,هذه السعودية التي شعبها شعب الخيم و بول البعير  الذي يستهزأ بها الناس,normal,indirect,indifference,origin,other
6,ما عارف كنت شايفها منحرفة شديد وانا صغير ليه @url,offensive_disrespectful,direct,indifference,gender,individual
7,@user @user تخيل يرد عليك يقولك حسب معلوماتنا ان سكان الارض يشربون بول البعير,offensive_normal,indirect,shock,other,individual
8,صباح التوكل على الله والسعي على رزقه والثقة فيما عنده #افريقيا_يا_اهلى,normal,indirect,indifference,other,other
9,وانتي مال امك يا مطلقة يا بايرة ياوش قنوات @url,offensive_disrespectful,direct,disgust,gender,women
10,@user @user الكردي كلب من يوم يومه بحاجة دائما لسيد وهلا اصبحتم خنازير اسرائيل بمرتبة الكلب,hateful,direct,shock_disgust,origin,other
11,@user و مدعمتهاش ليه فى كاس العالم يا جبان يا وسخ,offensive,direct,disgust,other,individual
12,خنازير فعلت فعلاً ..,abusive_disrespectful,indirect,indifference,other,other
13,لكن حرمة متبرجة تقف على المسرح وتغني امام الر… @url,normal,indirect,indifference,gender,women
14,@user @user ابن سلمان ابن ملك  بن ملك معروف من جد من لاب ومن الام رجال قهر خنازير المجوس وذنابها.… @user,fearful,direct,sadness,other,individual
15,ي قصارية ي بايرة,offensive,direct,shock,other,individual
16,يارب انصرنا #افريقيا_يا_اهلي,normal,indirect,sadness,other,other
17,@user @user @user واضح انكم تكذبوها ع سالفه ان الحريم يقعدن بالارض  ولا انا فهمت غلط ودرعمت؟,offensive,indirect,indifference,gender,women
18,واحده بايره,abusive_disrespectful,indirect,indifference,other,women
19,@user @user اعراب همج. ايش تتوقع من شاربين بول البعير,abusive_hateful,direct,indifference,other,arabs
20,زمان كان الرجال فوق الخيل والحريم يتفرجون والان صا… @url,normal,indirect,sadness,other,other
21,@user @user انت اكبر المشردين بايع ارضك وعرضك وتتكلم على اسيادك السعودية  ي كلب ي مرتزق ي خنزير,hateful,direct,indifference,other,other
22,جواب على متدخل من الحسيمة...فقد صوابه و بدأ يتكلم عن بول البعير..و  عن رحيل احباب العربية..لا اعرف اين؟ هل الى اورو… @user,offensive,indirect,indifference,other,individual
23,@user @user @user كتب الشيعة تطفح بروايات شرب بول البعير عن الصادق والكاظم أنتي قاعده تسبين الصا… @url,normal,direct,indifference,other,other
24,@user @user @user @user يا شارب بول البعير روح خذ لك كاس بول بعير مصفى وأشربوا على شرف إللي ما عودو شرف بن خرفان,disrespectful,direct,indifference,other,individual
25,الصور العارية واجسام البنات ومقاطع منحرفة ، ستشهد عليها الاصابع يوم القيامة ، كفاكم استهانة قالجنة اغلى,normal,indirect,indifference,gender,other
26,@user @user @user يعني مش هيك بعبرو عن التحرش الجنسي بلبنان,offensive,indirect,indifference_disgust,origin,other
27,@user @user صح لسانك بس الكلب وفي وهذا خنزير نتن,hateful,direct,shock,origin,individual
28,@user @user @user أمك وأختك هي بنت 100 خنزير يا شاربي بول البعير يا متخلفون,abusive,direct,disgust,other,individual
29,@user @user والضرب في كسمك حلال مفيش حد يقدر يغلب مصري في الكلال كسمك ع كسمه ي شواذ ي ولاد الوسخة بتشك… @url,offensive,direct,disgust,origin,individual
30,@user @user نظف من النظافه مش نضف. وين دارس؟ مش عيب اللي بشرب بول البعير يعلمك ولو,normal,direct,anger_indifference,origin,individual
31,@user @user @user يازلمي أنت شو بتتعاطى. على الأرجح بول البعير,hateful,direct,shock,origin,individual
32,@user هذا لو كان عندهم عقل يفكروا به . بول البعير  جعلهم كالبهاءم,hateful,direct,shock,origin,other
33,@user @user @user كمن فسر الماء بالماء.. ياغبي العالم كله عرف انكم خنازير مو بس السعوديين.. رح الشبك… @url,abusive_hateful,direct,indifference_disgust,origin,arabs
34,@user @user كلهم خنازير المجوس,abusive_hateful,indirect,anger_disgust,other,other
35,@user هذا الكلب راضع من خنزير   هو مهندس السقوط النصراوي في الدوري,offensive,indirect,anger_disgust,other,individual
36,@user @user اتذكر اول كنا ندرب الاطفال اللوكيميا كيف الدفاع عن النفس في حاله التحرش واخذنا انذارات وهوشه بسبب انن… @url,normal,indirect,indifference,other,other
37,اللي يدخل في بيئه وسخه يتحمل عواقبها لحد ما يسير وسخ زيهم .,disrespectful_normal,indirect,indifference,other,other
38,وحدة مناهضة التحرش والعنف ضد المرأة,normal,direct,indifference,gender,women
39,والله هندوس ع وش اللي جابوهم السبت,offensive,indirect,indifference,other,indian/hindu
40,@user ياشارب بول البعير العباسيين هم الهاشميين,offensive,indirect,indifference,origin,individual
41,بهيم الشاذ امه عاهره والده ديوث العائله كلها مشقوقه شق @url,abusive_offensive,indirect,shock,other,individual
42,صحيح ، يوم كان علمنا ينير الأرض ويحسبه الأغبياء سحراً ، الإسلام سمح ببول البعير فقط في التداوي وهذا ما صدقه العلم ا… @url,normal,indirect,indifference_disgust,other,other
43,@user @user اي احترام يا الخنزيره والمجوس انتم من هدم حترام الدول والان ذوقو ما تذوقه الناس منكم يا خناز… @user,offensive,direct,disgust,origin,other
44,@user let guess اللاجئون السوريون؟,normal,indirect,sadness,origin,refugees
45,والله لو بس تتركون بول البعير راح تصحون على نفسكم @url,normal,indirect,indifference,origin,other
46,معا لحماية أطفالنا من التحرش الجنسي @url,normal,indirect,indifference,other,other
47,@user لإن التحرش وسيلة ردع للإناث عن أنهم يخرجوا عن سطوة وسيطرة الجنس الاعلي,abusive_normal,direct,shock_indifference,gender,women
48,مدينة بورنهايم بالـ المانيا تمنع اللاجئين العرب والمسلمين البالغين من دخول بركة السباحة العامة بعد تلقي شكاوي من نساء المانيات تم التحرش بهن,disrespectful,indirect,shock,other,refugees
49,@user @user بس يا شارب بول البعير يا عبد ال سلول,abusive_hateful,direct,shock,origin,other
50,@user @user @user هههعععععع اي علوم ههههه بول البعير,hateful,indirect,indifference,other,other
51,عيل وسخ هسقطك. @url,offensive,direct,indifference,other,individual
52,ناقشه بمعزل تاااااااام عن قضية التبرج,normal,indirect,indifference,other,individual
53,الظاهر الاخ برونطو بلش يشرب بول البعير يعني لو قلو قليل من الخمر يفرح القلب مقبولي بس انو اشرب ٢٤/٢٤ساعة اي بيو… @url,hateful,indirect,indifference,other,other
54,@user @user بول البعير بيكون  أفتر ميل  ماي دارلينغ,offensive,indirect,indifference,other,individual
55,@user @user بدون شك بريئين منها. أنا ترى ما قلت سواقة حريم,disrespectful,direct,anger_confusion_sadness_indifference_disgust,gender,women
56,@user @user هي دي مشكلة كل خنازير البنا تعتقد ان الاخرين كلهم تابعين مثلهم للسمع والطاعة واقولها لأمثا… @url,hateful,indirect,indifference,other,other
57,@user @user @user أوقف النقاش فوراً عندما تسمع بول البعير.. لأن أصحاب هذه الفكرة يرون أنك متخ… @url,normal,direct,indifference,other,other
58,@user @user شنو اللواكه ياشاربي بول البعير يا اذناب الاستعمار يابقرة ترامب,abusive_disrespectful,direct,shock,origin,other
59,@user @user اووووه يممممااااه تصدق خوفتني يا خنزير,offensive,indirect,anger_disgust,other,individual
60,دي شكلها قالت كدي النعمل موضوع مع مواضيع الايام دي ..عايز افهم وين التحرش....ملفات من 2016 @url,offensive,indirect,indifference,gender,women
61,شغل الحريم هذا ماينفع مع الرجال #ادواردو_يرفض_شعار_الوطن,offensive,indirect,indifference,gender,women
62,شوفو ليكم حاجة غير التحرش ده البن… @url,normal,indirect,sadness,other,other
63,لو كان اللبس الضيق حريه شخصيه يبقا التحرش واجب وطني .......,offensive,direct,sadness,gender,women
64,ياعالم مقتل 16 في سجون ذيل الكلب تحت التعذيب في سوريا ويمكن فرحانين بالخبر  قسماً بالله لو لي من الامر شيء في هاذه… @url,offensive,direct,anger_fear_indifference_sadness_disgust,other,other
65,بول البعير افقدكم الرجوله والنخوه والشهامه والغيره @url,disrespectful,indirect,indifference,other,other
66,ووووو الترشي ربحت ....اش باش يسكت بايرة و تخطبت,offensive,indirect,confusion_indifference,other,women
67,بعد أفواج من المهاجرين السريين الأفارقة..ترحيل قاصرين مشردين من طنجة إلى تيزنيت: إنها سابقة خطيرة من نوعها وقعت في… @url,normal,direct,indifference,other,african_descent
68,مزال مسمعناش الصفارة يعني مكانش التحرش .,normal,direct,indifference,other,women
69,صحيح انت ونسوانك خدم عندنا ونشربكم بول البعير حسب كتبكم وفتوى معمميكم ياحمار تعلم دينك الرافضي بول البعير عقيده عند… @user,hateful,indirect,disgust,origin,muslims
70,التحرش والشارع والمجال العام ما يكون آمن للنس… @url,normal,indirect,indifference,other,women
71,صباح الخير ايها اللاجئون,normal,indirect,indifference,other,refugees
72,@user @user حرر بلدك يا خنزير,offensive,direct,anger_disgust,origin,individual
73,@user @user خنزير اوبس,disrespectful,indirect,indifference,other,individual
74,بإختصار أصبحوا خنازير بدياثتها و قذارتها و قبحها,offensive,indirect,indifference,other,other
75,@user @user اولا يا استاذ احترم نفسك عشان اقدر أغلط عليك باوسخ الألفاظ ثانيا صفقاتك الاربعه لن تفيدك… @url,offensive,indirect,indifference_disgust,other,individual
76,من كتر ما عقلي معاق ماسكه الماوس بدّي أعمل كوبي للنوتس إلي كتبتهم ع الدفتر و أخذهم بإيميل,normal,indirect,indifference,other,special_needs
77,عنايات اندى طبيب تركى يساعد الاف الافارقة على العلاج من امراض العيون,normal,indirect,sadness,other,african_descent
78,@user ولو مجلهاش عرسان تبقي بايرة ووحشة ومحدش بيبصلها أنة الشعب المصري ياسادة,normal,indirect,shock,origin,women
79,يظل التحرش في نظر الانثي تحرشا,normal,direct,indifference,gender,women
80,دعسس خنازير #الإسرائيلي #عزمي_حم…,offensive,indirect,anger_disgust,other,other
81,ثانيا : إن كنت متبرجة فلا تحرضي البنات على الت… @url,disrespectful_normal,direct,sadness,other,women
82,@user @user خنازير التحالف العربي,offensive,indirect,indifference,origin,other
83,@user @user اي والله كلاب خنازير ماينفع معهم الاالشبك اكرم الله المتابعين الشرفاء فقط,hateful,direct,shock,other,other
84,تخرج إلى الشارع متبرجة وتقول ( الإيمان بالقلب),offensive,direct,anger_sadness_shock_indifference_disgust,gender,women
85,لو كنت مشرعاً لجرمت التحرش . . ولكن كل ما كان زي الفتاة وسلوكها والظروف كان مشجعاً للتحرش . . كل ما كانت عقوبة المت… @url,abusive_normal,direct,shock,gender,women
86,يعني يلي بيشرب من بول البعير شو متوقع منو,abusive_disrespectful,direct,shock,other,other
87,ويجونك أغلب النسويات يقولون سعاودة وسعاودة ، وكان التحرش وليد اللحظه وكانه لم ولن يكُن هناك متحرشين ومغتصبين الا با… @url,normal,indirect,indifference,other,women
88,@user @user والله التعوسي انطق طق من الحريم . احسن يستاهل البدو الكلب,offensive,direct,disgust,other,individual
89,@user @user @user @user @user استغفر الله العظيم كاتب سبحان الله وتكلم كلام وسخ شن… @url,normal,indirect,indifference,other,individual
90,الشعوب التي ترى حريتها في عبوديتها لا تستطيع اخراج قيادات لها، وانما تخرج خنازير ينهشونها بالاستعراض والتملق والتسحيج...,offensive,indirect,shock,other,other
91,نصايح كيف تصيرين بايره وراميه نفسك على رجلك @url,offensive,indirect,indifference,gender,women
92,@user مجموعت خنازير تنبح ليل نهار  اتفو عليكم ياعبادة المال,abusive_offensive,direct,indifference,other,other
93,تبقاي بلا زواج لانو موش من اهدافك يقولو عليك بايرة ولا عاهرة !,offensive,indirect,anger_disgust,other,women
94,@user @user لا لا انت دتحجي بلغة البعران والبشر لا يفهمون البعير و بول البعير,abusive_offensive,direct,indifference,gender,individual
95,بعدالودادوالنجمومازيمبي دورك يا حوريا#افريقيا_يا_اهلي,normal,direct,indifference,other,other
96,لا تصارع خنزير في الوحل..   فتتسخ أنت و يستمتع هو..,abusive_normal,indirect,indifference,other,other
97,كما سبق وأكدنا القصاص عاجل وسريع فدماء أبناءنا اغلي وأطهر  من كل كنوز الدنيا_والتصفية هي المصير الحتمي لكل خنازير ا… @url,normal,indirect,shock,other,other
98,@user @user لعنة الله عليك و علا اتباعك يا قريشي ياكلب يا شاربي بول البعير  يا عبيد امريكا @url,offensive_hateful,direct,anger_disgust,origin,other
99,@user @user لا هندوس,normal,direct,indifference,religion,indian/hindu
100,@user من اللي يقول المصاريا يحبون الفلوس واللبناني قذر والتركي شايف نفسه والسوداني عجاز والعراقي لسانه وسخ ؟,offensive,direct,anger_shock,origin,arabs
101,@user لاء دكر واغلط والى يغلط فى بنت اصلا موش راجل  فا اغلط بتقول كمية اللفاظ محسسنى الى رباك كان وسخ,offensive,indirect,anger_disgust,other,other
102,ولا حد يدعي انه رجل ويجيب سيرة الحريم,abusive_normal,indirect,indifference_disgust,other,individual
103,@user @user @user اكيد شارب بول البعير مبين من كلامك لان هذه القاذورات التي تتلفض بها اس… @url,abusive_offensive_hateful_disrespectful_normal,indirect,sadness,other,individual
104,محدش شهر بتاع الكبسة داه غيرنا احنا اللي عاملنا من شخصية واحنا اللي هندوس عليا,offensive,direct,indifference,other,individual
105,@user @user @user هل تفكر بأن شرب بول البعير ليس بحلال وأنها نجسة ومكروهة ينفر منها الحيوان قب… @user,offensive,indirect,sadness,other,other
106,لاسف البنات بقوا بستغلوا الفهم التخلف دا لحاجات دينيه قطعيه ما فيها نقاش . ولو جينا لموضوع التحرش دا كوني. أكون محج… @url,fearful_disrespectful_hateful_normal,direct,sadness,gender,women
107,والحريم مع الحريم ..  عناد شي ما صار  ..!!,disrespectful_normal,indirect,indifference,gender,women
108,@user @user @user يبد انكم جميعا راضعين من خنزير واحد كلكم تشتمون نفس الشتيمه,offensive,direct,indifference,origin,individual
109,@user من يشرب بول البعير لا يعرف كيف يستخدم قنابل #السعودية #اليمن,abusive_disrespectful,indirect,indifference_disgust,origin,other
110,خنازير رافضيه نفقت .,disrespectful,indirect,shock,origin,other
111,في فرق بين انك تكون اوبن مايندد وانك ماكل لحم خنزير.,disrespectful,indirect,indifference,other,individual
112,@user نعم وأسلافنا سلموا أمر دينهم ورسالته لمجموعة من الجهلة والمغفلين فساقوا البشرية إلى شرب بول البعير,normal,indirect,indifference_disgust,other,other
113,لو فيك خير اخذوك بنات جماعتك م اعرضت نفسك هنا كنك وحده بايره #ثلاثيني_وسيم_يرغب_بالزواج,offensive,indirect,indifference_disgust,origin,individual
114,انا متله متبرجة من سنة ويقدم ان شاءالله,offensive,direct,confusion_disgust,gender,women
115,شفيها لو طرشتي واتس تسولفين شوي مب لاازم فون مال ساعتين ترا مب كل الحريم لهن بارض هالكثر يسولفن والله,disrespectful_normal,indirect,sadness,gender,women
