,corpus_name,raw_sentence,label,clean_sentence_training,clean_sentence_EDA
0,zampieri2019: Offensive Posts in Social Media,  She should ask a few native Americans what their take on this is ,2,She ask native Americans take,She ask native Americans take
1,zampieri2019: Offensive Posts in Social Media,   Go home you re drunk  MAGA Trump ,2,Go home drunk MAGA Trump,Go home drunk MAGA Trump
2,zampieri2019: Offensive Posts in Social Media,Amazon is investigating Chinese employees who are selling internal data to third party sellers looking for an edge in the competitive marketplace Amazon MAGA KAG CHINA TCOT,0,Amazon investigating Chinese employee selling internal data third party seller looking edge competitive marketplace Amazon MAGA KAG CHINA TCOT,Amazon investigating Chinese employee selling internal data third party seller looking edge competitive marketplace Amazon MAGA KAG CHINA TCOT
3,zampieri2019: Offensive Posts in Social Media,  Someone should veTaken this piece of shit to a volcano ,2,Someone veTaken piece shit volcano,Someone veTaken piece shit volcano
4,zampieri2019: Offensive Posts in Social Media,   Obama wanted liberals illegals to move into red states,0,Obama wanted liberal illegals move red state,Obama wanted liberal illegals move red state
5,zampieri2019: Offensive Posts in Social Media,  Liberals are all Kookoo ,2,Liberals Kookoo,Liberals Kookoo
6,zampieri2019: Offensive Posts in Social Media,   Oh noes Tough shit ,2,Oh no Tough shit,Oh no Tough shit
7,zampieri2019: Offensive Posts in Social Media,  was literally just talking about this lol all mass shootings like that have been set ups it s propaganda used to divide us on major issues like gun control and terrorism,2,literally talking lol mass shooting like set ups propaganda used divide u major issue like gun control terrorism,literally talking lol mass shooting like set ups propaganda used divide u major issue like gun control terrorism
8,zampieri2019: Offensive Posts in Social Media,  Buy more icecream ,0,Buy icecream,Buy icecream
9,zampieri2019: Offensive Posts in Social Media,  Canada doesn t need another CUCK We already have enough LooneyLeft Liberals f king up our great country Qproofs TrudeauMustGo,2,Canada need another CUCK We already enough LooneyLeft Liberals f king great country Qproofs TrudeauMustGo,Canada need another CUCK We already enough LooneyLeft Liberals f king great country Qproofs TrudeauMustGo
10,zampieri2019: Offensive Posts in Social Media,    It s not my fault you support gun control,0,It fault support gun control,It fault support gun control
11,zampieri2019: Offensive Posts in Social Media,  What s the difference between Kavanaugh and  One of these men admitted to groping a year old girl years ago The other is going to be confirmed to the SCJ DemsareFrauds DemsAreDone WalkAwayDemocrats redwave VoteRedSaveAmerica trumptrain MAGA ,0,What difference Kavanaugh One men admitted groping year old girl year ago The going confirmed SCJ DemsareFrauds DemsAreDone WalkAwayDemocrats redwave VoteRedSaveAmerica trumptrain MAGA,What difference Kavanaugh One men admitted groping year old girl year ago The going confirmed SCJ DemsareFrauds DemsAreDone WalkAwayDemocrats redwave VoteRedSaveAmerica trumptrain MAGA
12,zampieri2019: Offensive Posts in Social Media,  you are a lying corrupt traitor Nobody wants to hear anymore of your lies DeepStateCorruption ,2,lying corrupt traitor Nobody want hear anymore lie DeepStateCorruption,lying corrupt traitor Nobody want hear anymore lie DeepStateCorruption
13,zampieri2019: Offensive Posts in Social Media,    It should scare every American She is playing Hockey with a warped puck ,0,It scare every American She playing Hockey warped puck,It scare every American She playing Hockey warped puck
14,zampieri2019: Offensive Posts in Social Media,                                                   I like my soda like I like my boarders with a lot of ICE ,0,I like soda like I like boarder lot ICE,I like soda like I like boarder lot ICE
15,zampieri2019: Offensive Posts in Social Media,  you are also the king of taste,0,also king taste,also king taste
16,zampieri2019: Offensive Posts in Social Media, MAGA  Sing like no one is listening Love like you ve never been hurt Vote GOP when no one is watching And don t listen to Liberals dirt ,0,MAGA Sing like one listening Love like never hurt Vote GOP one watching And listen Liberals dirt,MAGA Sing like one listening Love like never hurt Vote GOP one watching And listen Liberals dirt
17,zampieri2019: Offensive Posts in Social Media,  The time is right for this House to respond to the concerns of all Canadians Four out of five Canadians support stronger gun control and with good reason guncontrol cdnpoli cdnhist ,0,The time right House respond concern Canadians Four five Canadians support stronger gun control good reason guncontrol cdnpoli cdnhist,The time right House respond concern Canadians Four five Canadians support stronger gun control good reason guncontrol cdnpoli cdnhist
18,zampieri2019: Offensive Posts in Social Media,  Besides Jax s mom and maybe Ope he is hands down my favorite he s like the only good person on the show ,0,Besides Jax mom maybe Ope hand favorite like good person show,Besides Jax mom maybe Ope hand favorite like good person show
19,zampieri2019: Offensive Posts in Social Media,    gun control That is all these kids are asking for ,2,gun control That kid asking,gun control That kid asking
