corpus_name,raw_sentence,label,clean_sentence_training,clean_sentence_EDA
hate-speech-dataset,"As of March 13th , 2014 , the booklet had been downloaded over 18,300 times and counting .",0,As March     booklet downloaded  times counting ,As March     booklet downloaded  times counting 
hate-speech-dataset,"In order to help increase the booklets downloads , it would be great if all Stormfronters who had YouTube accounts , could display the following text in the description boxes of their uploaded YouTube videos .",0,In order help increase booklets downloads  would great Stormfronters YouTube accounts  could display following text description boxes uploaded YouTube videos ,In order help increase booklets downloads  would great Stormfronters YouTube accounts  could display following text description boxes uploaded YouTube videos 
hate-speech-dataset,( Simply copy and paste the following text into your YouTube videos description boxes. ),0, Simply copy paste following text YouTube videos description boxes  , Simply copy paste following text YouTube videos description boxes  
hate-speech-dataset,Click below for a FREE download of a colorfully illustrated 132 page e-book on the Zionist-engineered INTENTIONAL destruction of Western civilization .,2,Click FREE download colorfully illustrated  page ebook Zionistengineered INTENTIONAL destruction Western civilization ,Click FREE download colorfully illustrated  page ebook Zionistengineered INTENTIONAL destruction Western civilization 
hate-speech-dataset,Click on the `` DOWNLOAD ( 7.42 MB ) '' green banner link .,0,Click  DOWNLOAD   MB   green banner link ,Click  DOWNLOAD   MB   green banner link 
hate-speech-dataset,"Booklet updated on Feb. 14th , 2014 .",0,Booklet updated Feb    ,Booklet updated Feb    
hate-speech-dataset,"( Now with over 18,300 Downloads. )",0, Now  Downloads  , Now  Downloads  
hate-speech-dataset,PDF file : http://www.mediafire.com/download/7p3p3goadvvqvsf/WNDebateBooklet_2-14-14.pdfMSWordfile:http://www.mediafire.com/download/psezkkk4d6a3wt1/WNDebateBooklet _ 2-14-14.docx Watch the 10 hour video version of `` The Zionist Attack on Western Civilization '' @ http://trutube.tv/video/14247/The-Zionist-Attack-on-Western-Civilization-Pages-1-33-Part-1-of-4-Banned-from-YouTubeNotepadPromotionalYouTubeComment:http://www.mediafire.com/download/96fg6ft02lyfruz/Booklet _ White _ YT _ Comment _ ( Hyperlinked ) .txt http://www.mediafire.com/download/zcn3wozjbwnezms/Booklet-White-YT-Comment- ( Hyperlinked-Back-Up % 5D.txt http://www.mediafire.com/download/9uyudq1yuxu1dur/Booklet+Comment+%28Firefox%29.txt2minutepromotionalBOOKLETvideo@http://www.youtube.com/watch ? v = _ 8hg254ALpM Are you interested in helping spread the booklet download link across the world ?,0,PDF file  http    http    docx Watch  hour video version  The Zionist Attack Western Civilization   http  trutubetvvideoTheZionistAttackonWesternCivilizationPagesPartofBannedfromYouTubeNotepadPromotionalYouTubeComment  http    White  YT  Comment   Hyperlinked  txt http    HyperlinkedBackUp  txt http        http    v    Are interested helping spread booklet download link across world ,PDF file  http    http    docx Watch  hour video version  The Zionist Attack Western Civilization   http  trutubetvvideoTheZionistAttackonWesternCivilizationPagesPartofBannedfromYouTubeNotepadPromotionalYouTubeComment  http    White  YT  Comment   Hyperlinked  txt http    HyperlinkedBackUp  txt http        http    v    Are interested helping spread booklet download link across world 
hate-speech-dataset,Then why not simply copy this text ( & links ) and paste it into the description box of your YouTube videos ?,0,Then simply copy text   links  paste description box YouTube videos ,Then simply copy text   links  paste description box YouTube videos 
hate-speech-dataset,Thank you in advance. : ) Download the youtube `` description box '' info text file below @ http://www.mediafire.com/download/dqhn1czprr17o21/Booklet-Description-Box _ Info.txt,0,Thank advance    Download youtube  description box  info text file  http    Infotxt,Thank advance    Download youtube  description box  info text file  http    Infotxt
hate-speech-dataset,"She may or may not be a Jew but she 's certainly stupid , she seems to think the Blacks wo n't kill her alongside every other White they can get their dirty hands on , what a muppet !",2,She may may Jew s certainly stupid  seems think Blacks wo nt kill alongside every White get dirty hands  muppet ,She may may Jew s certainly stupid  seems think Blacks wo nt kill alongside every White get dirty hands  muppet 
hate-speech-dataset,Thank you for the info. i will deffinetly look into them .,0,Thank info  deffinetly look ,Thank info  deffinetly look 
hate-speech-dataset,I hope there is room for one more as i am very excited about this .,0,I hope room one excited ,I hope room one excited 
hate-speech-dataset,I just came across this piece of garbage .,0,I came across piece garbage ,I came across piece garbage 
hate-speech-dataset,Comments say she is from SA .,0,Comments say SA ,Comments say SA 
hate-speech-dataset,Warning : Graphic .,0,Warning  Graphic ,Warning  Graphic 
hate-speech-dataset,Die Antwoord - `` Cookie Thumper '' ( Official Video ) - YouTube,0,Die Antwoord   Cookie Thumper   Official Video   YouTube,Die Antwoord   Cookie Thumper   Official Video   YouTube
hate-speech-dataset,The whites are more in the range of 4.8 million .,0,The whites range  million ,The whites range  million 
hate-speech-dataset,I believe this can be higher since I 've read reports that especially whites in the Free State were not counted in the latest census .,0,I believe higher since I ve read reports especially whites Free State counted latest census ,I believe higher since I ve read reports especially whites Free State counted latest census 
hate-speech-dataset,Thank you for posting your story .,0,Thank posting story ,Thank posting story 
hate-speech-dataset,I think you should write a book as well .,0,I think write book well ,I think write book well 
hate-speech-dataset,"I 've always considered teaching as one of the professions I would like to get into , but not in a neighbourhood like that ... never. kids like that disgust me .",2,I ve always considered teaching one professions I would like get  neighbourhood like  never  kids like disgust ,I ve always considered teaching one professions I would like get  neighbourhood like  never  kids like disgust 
hate-speech-dataset,And the sad thing is the white students at those schools will act like that too .,2,And sad thing white students schools act like ,And sad thing white students schools act like 
hate-speech-dataset,"I guess I 'll just stick to homeschooling my kids , when and if I have them ...",0,I guess I ll stick homeschooling kids  I ,I guess I ll stick homeschooling kids  I 
hate-speech-dataset,Randy Blazak is an `` expert '' all right--he teaches `` Sociology of Star Trek '' --a credited class students actually pay for .,0,Randy Blazak  expert  right  teaches  Sociology Star Trek   credited class students actually pay ,Randy Blazak  expert  right  teaches  Sociology Star Trek   credited class students actually pay 
hate-speech-dataset,No wonder young people ca n't get jobs .,0,No wonder young people ca nt get jobs ,No wonder young people ca nt get jobs 
hate-speech-dataset,They take underwater basket weaving courses and they have no worthwhile skills on account of angry still my favorite comment .,0,They take underwater basket weaving courses worthwhile skills account angry still favorite comment ,They take underwater basket weaving courses worthwhile skills account angry still favorite comment 
hate-speech-dataset,"Old Tarzan movies , `` Zulu '' , and `` King Kong '' have many such images .",0,Old Tarzan movies   Zulu    King Kong  many images ,Old Tarzan movies   Zulu    King Kong  many images 
hate-speech-dataset,National Geographic magazines in the 1950s and early 1960s are replete with color photos of African villagers .,0,National Geographic magazines  early  replete color photos African villagers ,National Geographic magazines  early  replete color photos African villagers 
hate-speech-dataset,Dr. Albert Schweitzer 's two-hour documentary from 1958 was shown in movie theaters everywhere .,0,Dr Albert Schweitzer s twohour documentary  shown movie theaters everywhere ,Dr Albert Schweitzer s twohour documentary  shown movie theaters everywhere 
hate-speech-dataset,I think VHS tapes are available at Amazon .,0,I think VHS tapes available Amazon ,I think VHS tapes available Amazon 
hate-speech-dataset,Their gods often had pale skin and blue eyes but I suppose literacy is n't valued highly by their cultural intelligencia .,2,Their gods often pale skin blue eyes I suppose literacy nt valued highly cultural intelligencia ,Their gods often pale skin blue eyes I suppose literacy nt valued highly cultural intelligencia 
hate-speech-dataset,When the girl starts talking the guy in the middles lips start moving .,0,When girl starts talking guy middles lips start moving ,When girl starts talking guy middles lips start moving 
hate-speech-dataset,"He was checking her lines , bad actors ca n't help themselves from doing this .",0,He checking lines  bad actors ca nt help ,He checking lines  bad actors ca nt help 
hate-speech-dataset,This whole situation starts to become really bizarre .,0,This whole situation starts become really bizarre ,This whole situation starts become really bizarre 
hate-speech-dataset,I was a Right Sector supporter but it starts to sound as if they are in fact just Israeli agents ......,0,I Right Sector supporter starts sound fact Israeli agents ,I Right Sector supporter starts sound fact Israeli agents 
hate-speech-dataset,I do n't know who to support anymore ................,0,I nt know support anymore ,I nt know support anymore 
hate-speech-dataset,I've read many post on here saying Israel gives training to US law enforcement .,0,I ve read many post saying Israel gives training US law enforcement ,I ve read many post saying Israel gives training US law enforcement 
hate-speech-dataset,I remember after the Boston Marathon bombings watching Fox News and they said law enforcement was consulting Israel for advice .,0,I remember Boston Marathon bombings watching Fox News said law enforcement consulting Israel advice ,I remember Boston Marathon bombings watching Fox News said law enforcement consulting Israel advice 
hate-speech-dataset,I believe his dog would like to get as far away from him as possible !,0,I believe dog would like get far away possible ,I believe dog would like get far away possible 
hate-speech-dataset,Free North Carolina : Peterson 's particulars VikingInMe,0,Free North Carolina  Peterson s particulars VikingInMe,Free North Carolina  Peterson s particulars VikingInMe
hate-speech-dataset,"So according to section C , what few jobs there are in our areas will be given to these people as well Thanks for posting this .",0,So according section C  jobs areas given people well Thanks posting ,So according section C  jobs areas given people well Thanks posting 
hate-speech-dataset,Greece need a man like Adolf Hitler and now is the perfect time to start a national political movement to free Your country from the zionist bankers,2,Greece need man like Adolf Hitler perfect time start national political movement free Your country zionist bankers,Greece need man like Adolf Hitler perfect time start national political movement free Your country zionist bankers
