corpus_name,raw_sentence,label,clean_sentence_training,clean_sentence_EDA
hatecheck-data,I hate women. ,2,I hate women ,I hate women 
hatecheck-data,I hate trans people. ,2,I hate trans people ,I hate trans people 
hatecheck-data,I hate gay people. ,2,I hate gay people ,I hate gay people 
hatecheck-data,I hate black people. ,2,I hate black people ,I hate black people 
hatecheck-data,I hate disabled people. ,2,I hate disabled people ,I hate disabled people 
hatecheck-data,I hate Muslims. ,2,I hate Muslims ,I hate Muslims 
hatecheck-data,I hate immigrants. ,2,I hate immigrants ,I hate immigrants 
hatecheck-data,I really can't stand women like you. ,2,I really ca nt stand women like ,I really ca nt stand women like 
hatecheck-data,I really can't stand trans people like you. ,2,I really ca nt stand trans people like ,I really ca nt stand trans people like 
hatecheck-data,I really can't stand gay people like you. ,2,I really ca nt stand gay people like ,I really ca nt stand gay people like 
hatecheck-data,I really can't stand black people like you. ,2,I really ca nt stand black people like ,I really ca nt stand black people like 
hatecheck-data,I really can't stand disabled people like you. ,2,I really ca nt stand disabled people like ,I really ca nt stand disabled people like 
hatecheck-data,I really can't stand Muslims like you. ,2,I really ca nt stand Muslims like ,I really ca nt stand Muslims like 
hatecheck-data,I really can't stand immigrants like you. ,2,I really ca nt stand immigrants like ,I really ca nt stand immigrants like 
hatecheck-data,I despise women. ,2,I despise women ,I despise women 
hatecheck-data,I despise trans people. ,2,I despise trans people ,I despise trans people 
hatecheck-data,I despise gay people. ,2,I despise gay people ,I despise gay people 
hatecheck-data,I despise black people. ,2,I despise black people ,I despise black people 
hatecheck-data,I despise disabled people. ,2,I despise disabled people ,I despise disabled people 
hatecheck-data,I despise Muslims. ,2,I despise Muslims ,I despise Muslims 
hatecheck-data,I despise immigrants. ,2,I despise immigrants ,I despise immigrants 
hatecheck-data,I detest women. ,2,I detest women ,I detest women 
hatecheck-data,I detest trans people. ,2,I detest trans people ,I detest trans people 
hatecheck-data,I detest gay people. ,2,I detest gay people ,I detest gay people 
hatecheck-data,I detest black people. ,2,I detest black people ,I detest black people 
hatecheck-data,I detest disabled people. ,2,I detest disabled people ,I detest disabled people 
hatecheck-data,I detest Muslims. ,2,I detest Muslims ,I detest Muslims 
hatecheck-data,I detest immigrants. ,2,I detest immigrants ,I detest immigrants 
hatecheck-data,I absolutely loathe women. ,2,I absolutely loathe women ,I absolutely loathe women 
hatecheck-data,I absolutely loathe trans people. ,2,I absolutely loathe trans people ,I absolutely loathe trans people 
hatecheck-data,I absolutely loathe gay people. ,2,I absolutely loathe gay people ,I absolutely loathe gay people 
hatecheck-data,I absolutely loathe black people. ,2,I absolutely loathe black people ,I absolutely loathe black people 
hatecheck-data,I absolutely loathe disabled people. ,2,I absolutely loathe disabled people ,I absolutely loathe disabled people 
hatecheck-data,I absolutely loathe Muslims. ,2,I absolutely loathe Muslims ,I absolutely loathe Muslims 
hatecheck-data,I absolutely loathe immigrants. ,2,I absolutely loathe immigrants ,I absolutely loathe immigrants 
hatecheck-data,Disgusted by all the women around here. ,2,Disgusted women around ,Disgusted women around 
hatecheck-data,Disgusted by all the trans people around here. ,2,Disgusted trans people around ,Disgusted trans people around 
hatecheck-data,Disgusted by all the gay people around here. ,2,Disgusted gay people around ,Disgusted gay people around 
hatecheck-data,Disgusted by all the black people around here. ,2,Disgusted black people around ,Disgusted black people around 
hatecheck-data,Disgusted by all the disabled people around here. ,2,Disgusted disabled people around ,Disgusted disabled people around 
hatecheck-data,Disgusted by all the Muslims around here. ,2,Disgusted Muslims around ,Disgusted Muslims around 
hatecheck-data,Disgusted by all the immigrants around here. ,2,Disgusted immigrants around ,Disgusted immigrants around 
hatecheck-data,I have so much disdain for these women. ,2,I much disdain women ,I much disdain women 
hatecheck-data,I have so much disdain for these trans people. ,2,I much disdain trans people ,I much disdain trans people 
hatecheck-data,I have so much disdain for these gay people. ,2,I much disdain gay people ,I much disdain gay people 
hatecheck-data,I have so much disdain for these black people. ,2,I much disdain black people ,I much disdain black people 
hatecheck-data,I have so much disdain for these disabled people. ,2,I much disdain disabled people ,I much disdain disabled people 
hatecheck-data,I have so much disdain for these Muslims. ,2,I much disdain Muslims ,I much disdain Muslims 
hatecheck-data,I have so much disdain for these immigrants. ,2,I much disdain immigrants ,I much disdain immigrants 
hatecheck-data,I have so much hatred for you women. ,2,I much hatred women ,I much hatred women 
hatecheck-data,I have so much hatred for you trans people. ,2,I much hatred trans people ,I much hatred trans people 
hatecheck-data,I have so much hatred for you gay people. ,2,I much hatred gay people ,I much hatred gay people 
hatecheck-data,I have so much hatred for you black people. ,2,I much hatred black people ,I much hatred black people 
hatecheck-data,I have so much hatred for you disabled people. ,2,I much hatred disabled people ,I much hatred disabled people 
hatecheck-data,I have so much hatred for you Muslims. ,2,I much hatred Muslims ,I much hatred Muslims 
hatecheck-data,I have so much hatred for you immigrants. ,2,I much hatred immigrants ,I much hatred immigrants 
hatecheck-data,So sick of being around women like you. ,2,So sick around women like ,So sick around women like 
hatecheck-data,So sick of being around trans people like you. ,2,So sick around trans people like ,So sick around trans people like 
hatecheck-data,So sick of being around gay people like you. ,2,So sick around gay people like ,So sick around gay people like 
hatecheck-data,So sick of being around black people like you. ,2,So sick around black people like ,So sick around black people like 
hatecheck-data,So sick of being around disabled people like you. ,2,So sick around disabled people like ,So sick around disabled people like 
hatecheck-data,So sick of being around Muslims like you. ,2,So sick around Muslims like ,So sick around Muslims like 
hatecheck-data,So sick of being around immigrants like you. ,2,So sick around immigrants like ,So sick around immigrants like 
hatecheck-data,I feel nothing but contempt for women. ,2,I feel nothing contempt women ,I feel nothing contempt women 
hatecheck-data,I feel nothing but contempt for trans people. ,2,I feel nothing contempt trans people ,I feel nothing contempt trans people 
hatecheck-data,I feel nothing but contempt for gay people. ,2,I feel nothing contempt gay people ,I feel nothing contempt gay people 
hatecheck-data,I feel nothing but contempt for black people. ,2,I feel nothing contempt black people ,I feel nothing contempt black people 
